MRGV_vOTUs	ICTV_taxonomy	Representative	Genome_size	Checkv_quality	muivig_quality	Completeness	contamination	Completeness_method	Kmer_freq	MRGV_vFAMs	MRGV_vGENs	UHGV_matched	IsProphage	Host_taxonomy
MRGV_vOTU00013	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000013	35344.0	Medium-quality	Genome-fragment	57.54	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2541	MRGV_vGEN03227	vFAM-00017	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp910574865;strain__GENOME03761
MRGV_vOTU00014	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000014	28477.0	Medium-quality	Genome-fragment	72.61	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1988	MRGV_vGEN05540	vSUBFAM-00161	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__SIG307;s__SIG307 sp910577175;strain__GENOME02576
MRGV_vOTU00015	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000015	11078.0	High-quality	High-quality	100.0	0.0	HMM-based (lower-bound)	1.0	MRGV_vFAM0888	MRGV_vGEN08668	vFAM-00261	False	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum schaedleri
MRGV_vOTU00016	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000016	28183.0	Medium-quality	Genome-fragment	69.85	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0015	MRGV_vGEN02573	vFAM-00035	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp910575665
MRGV_vOTU00017	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Lagaffevirus	MRGV_GENOME000017	51660.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0330	MRGV_vGEN00537	vFAM-00001	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp000403435;strain__MGBC000338
MRGV_vOTU00018	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000018	49334.0	Medium-quality	Genome-fragment	71.97	0.0	HMM-based (lower-bound)	1.0	MRGV_vFAM0902	MRGV_vGEN03499	vFAM-00017	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales
MRGV_vOTU00019	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000019	36437.0	Medium-quality	Genome-fragment	87.68	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0924	MRGV_vGEN03673	vFAM-00035	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585015
MRGV_vOTU00020	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Eponavirus	MRGV_GENOME000020	33928.0	Medium-quality	Genome-fragment	68.44	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2426	MRGV_vGEN08561	vSUBFAM-00339	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00021	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000021	140739.0	Medium-quality	Genome-fragment	77.03	0.0	HMM-based (lower-bound)	1.0	MRGV_vFAM0183	MRGV_vGEN10699	vFAM-00020	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Pumilibacteraceae;g__Anaerocaecibacter;s__Anaerocaecibacter sp910587805
MRGV_vOTU00022	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000022	66115.0	High-quality	High-quality	95.22	0.0	HMM-based (lower-bound)	1.0	MRGV_vFAM0514	MRGV_vGEN08301	vFAM-00001	False	Unclassified
MRGV_vOTU00023	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000023	85494.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2216	MRGV_vGEN08678	vFAM-00007	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1
MRGV_vOTU00024	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;f__Epsilon-crassviridae	MRGV_GENOME000024	142702.0	Complete	High-quality	100.0	0.0	DTR (high-confidence)	1.0	MRGV_vFAM1022	MRGV_vGEN07732	vSUBFAM-00462	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__MRGM_1017_species
MRGV_vOTU00025	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000025	41044.0	Medium-quality	Genome-fragment	78.63	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0519	MRGV_vGEN10033	vFAM-00001	False	Unclassified
MRGV_vOTU00026	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000026	36103.0	Medium-quality	Genome-fragment	76.15	0.0	AAI-based (high-confidence)	1.11	MRGV_vFAM2519	MRGV_vGEN08308	vSUBFAM-00011	False	Unclassified
MRGV_vOTU00027	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000027	36373.0	Medium-quality	Genome-fragment	52.52	0.0	HMM-based (lower-bound)	1.0	MRGV_vFAM2053	MRGV_vGEN09250	vSUBFAM-00014	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp910588005
MRGV_vOTU00028	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Ludisviridae;g__Ludisvirus	MRGV_GENOME000028	31951.0	Medium-quality	Genome-fragment	63.88	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2371	MRGV_vGEN01027	vGENUS-06405	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae
MRGV_vOTU00029	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000029	32685.0	Medium-quality	Genome-fragment	68.18	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1503	MRGV_vGEN04384	vSUBFAM-00553	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00030	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Arawnvirus	MRGV_GENOME000030	28769.0	Medium-quality	Genome-fragment	57.12	0.0	HMM-based (lower-bound)	1.12	MRGV_vFAM0558	MRGV_vGEN09628	vGENUS-02461	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00031	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000031	40786.0	Medium-quality	Genome-fragment	67.76	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1779	MRGV_vGEN10345	vSUBFAM-00023	False	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__C-19;s__C-19 sp910586285
MRGV_vOTU00032	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Oengusvirus	MRGV_GENOME000032	53929.0	Medium-quality	Genome-fragment	82.6	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2053	MRGV_vGEN09949	vSUBFAM-00014	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp910588005
MRGV_vOTU00033	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000033	38822.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2504	MRGV_vGEN05041	vSUBFAM-01002	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales
MRGV_vOTU00034	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000034	50356.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2418	MRGV_vGEN10160	vSUBFAM-01597	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales
MRGV_vOTU00035	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Konodaiviridae	MRGV_GENOME000035	59543.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1818	MRGV_vGEN05532	vSUBGEN-32456	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae
MRGV_vOTU00036	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000036	33679.0	High-quality	High-quality	99.83	0.0	AAI-based (high-confidence)	1.18	MRGV_vFAM2504	MRGV_vGEN06366	vSUBGEN-45402	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales
MRGV_vOTU00037	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000037	427102.0	High-quality	High-quality	100.0	0.0	HMM-based (lower-bound)	1.0	MRGV_vFAM0453	MRGV_vGEN04463	vFAM-00001	True	d__Bacteria;p__Bacillota_A;c__Clostridia
MRGV_vOTU00038	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000038	29657.0	Medium-quality	Genome-fragment	87.82	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2504	MRGV_vGEN05041	vSUBFAM-01002	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Pumilibacteraceae;g__Anaerocaecibacter;s__Anaerocaecibacter sp910587805
MRGV_vOTU00039	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000039	34878.0	Complete	High-quality	100.0	0.0	DTR (high-confidence)	1.0	MRGV_vFAM0558	MRGV_vGEN02963	vGENUS-02461	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00040	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Arawnvirus	MRGV_GENOME000040	62838.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0558	MRGV_vGEN09628	vSUBFAM-00342	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00041	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000041	21550.0	Medium-quality	Genome-fragment	55.68	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2575	MRGV_vGEN02529	vSUBFAM-00872	False	Unclassified
MRGV_vOTU00042	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000042	44488.0	Medium-quality	Genome-fragment	53.3	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1184	MRGV_vGEN02980	vFAM-00043	False	Unclassified
MRGV_vOTU00043	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000043	71269.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0274	MRGV_vGEN08902	vSUBFAM-00684	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00044	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000044	34893.0	Medium-quality	Genome-fragment	53.76	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1962	MRGV_vGEN05256	vGENUS-05320	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Lepagella;s__Lepagella sp910584125
MRGV_vOTU00045	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000045	28206.0	Medium-quality	Genome-fragment	69.7	0.0	AAI-based (high-confidence)	1.01	MRGV_vFAM1864	MRGV_vGEN07229	vSUBFAM-01580	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales
MRGV_vOTU00046	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000046	52262.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0759	MRGV_vGEN00555	vSUBFAM-00811	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae
MRGV_vOTU00047	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000047	50162.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0924	MRGV_vGEN03673	vSUBFAM-00161	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585015
MRGV_vOTU00048	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000048	62205.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2418	MRGV_vGEN10160	vSUBFAM-01294	False	d__Bacteria;p__Bacillota_A;c__Clostridia
MRGV_vOTU00049	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000049	43365.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.03	MRGV_vFAM2414	MRGV_vGEN04295	vSUBGEN-14131	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00050	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Lagaffevirus	MRGV_GENOME000050	54395.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.1	MRGV_vFAM0856	MRGV_vGEN07226	vSUBFAM-00411	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00051	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000051	70927.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.01	MRGV_vFAM1710	MRGV_vGEN06274	vFAM-00008	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00052	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Alisviridae	MRGV_GENOME000052	147187.0	High-quality	High-quality	97.94	0.0	HMM-based (lower-bound)	1.01	MRGV_vFAM0033	MRGV_vGEN10469	vSUBFAM-07050	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales
MRGV_vOTU00053	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000053	30935.0	Medium-quality	Genome-fragment	52.46	0.0	HMM-based (lower-bound)	1.0	MRGV_vFAM0641	MRGV_vGEN09639	vFAM-00058	False	Unclassified
MRGV_vOTU00054	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000054	47927.0	High-quality	High-quality	92.16	0.0	HMM-based (lower-bound)	1.0	MRGV_vFAM2419	MRGV_vGEN03335	vFAM-00001	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003611805
MRGV_vOTU00055	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000055	51793.0	Medium-quality	Genome-fragment	85.78	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM1006	MRGV_vGEN02632	vSUBFAM-00517	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7050;s__UBA7050 sp003979345
MRGV_vOTU00056	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Oengusvirus	MRGV_GENOME000056	57951.0	High-quality	High-quality	93.01	0.0	AAI-based (high-confidence)	1.01	MRGV_vFAM2053	MRGV_vGEN09949	vSUBFAM-00014	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp910588005
MRGV_vOTU00057	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000057	15514.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.01	MRGV_vFAM1381	MRGV_vGEN11333	vSUBFAM-00342	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00058	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000058	19564.0	Medium-quality	Genome-fragment	59.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0004	MRGV_vGEN11506	vGENUS-06600	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00059	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000059	50455.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM2504	MRGV_vGEN05041	vSUBFAM-01002	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Pumilibacteraceae
MRGV_vOTU00060	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Lagaffevirus	MRGV_GENOME000060	41923.0	Medium-quality	Genome-fragment	87.36	0.0	AAI-based (high-confidence)	1.01	MRGV_vFAM0541	MRGV_vGEN02415	vSUBFAM-00411	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00061	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Arawnvirus	MRGV_GENOME000061	43841.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.02	MRGV_vFAM0558	MRGV_vGEN09628	vGENUS-02461	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00062	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000062	47739.0	Medium-quality	Genome-fragment	77.52	0.0	AAI-based (high-confidence)	1.0	MRGV_vFAM0873	MRGV_vGEN07797	vSUBFAM-01326	True	Unclassified
MRGV_vOTU00063	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000063	41409.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.07	MRGV_vFAM1579	MRGV_vGEN05516	vGENUS-06600	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00064	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Toyamaviridae	MRGV_GENOME000064	51433.0	Medium-quality	Genome-fragment	80.11	0.0	AAI-based (high-confidence)	1.01	MRGV_vFAM2270	MRGV_vGEN08316	vGENUS-02859	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella rodentium
MRGV_vOTU00065	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000065	38031.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.01	MRGV_vFAM1270	MRGV_vGEN10054	vSUBFAM-01002	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA3700
MRGV_vOTU00066	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000066	41897.0	Medium-quality	Genome-fragment	88.99	0.0	AAI-based (high-confidence)	1.01	MRGV_vFAM1184	MRGV_vGEN06340	vSUBFAM-01505	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
MRGV_vOTU00067	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000067	208410.0	Medium-quality	Genome-fragment	89.53	0.0	HMM-based (lower-bound)	1.0	MRGV_vFAM1996	MRGV_vGEN01354		False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002490665
MRGV_vOTU00068	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000068	152974.0	High-quality	High-quality	93.97	0.0	HMM-based (lower-bound)	1.0	MRGV_vFAM1517	MRGV_vGEN07655	vSUBFAM-00846	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae
MRGV_vOTU00069	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes	MRGV_GENOME000069	37204.0	High-quality	High-quality	100.0	0.0	AAI-based (high-confidence)	1.05	MRGV_vFAM1590	MRGV_vGEN07792	vSUBFAM-00431	False	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
