MRGV_vOTU	Bacterial_host (R220)	Consensus	Evidence
MRGV_vOTU00029	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.989855072463768	CRISPR
MRGV_vOTU00030	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9772727272727272	CRISPR
MRGV_vOTU00031	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__C-19;s__C-19 sp910586285	1.0	CRISPR
MRGV_vOTU00032	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp910588005	1.0	CRISPR
MRGV_vOTU00033	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.9935897435897436	CRISPR:Integration
MRGV_vOTU00034	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	0.9411764705882352	CRISPR
MRGV_vOTU00035	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	1.0	Integration
MRGV_vOTU00036	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	1.0	CRISPR
MRGV_vOTU00037	d__Bacteria;p__Bacillota_A;c__Clostridia	1.0	CRISPR
MRGV_vOTU00038	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Pumilibacteraceae;g__Anaerocaecibacter;s__Anaerocaecibacter sp910587805	0.8	CRISPR
MRGV_vOTU00039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9906542056074766	CRISPR
MRGV_vOTU00040	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9649122807017544	CRISPR:Integration
MRGV_vOTU00043	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR:Integration
MRGV_vOTU00044	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Lepagella;s__Lepagella sp910584125	1.0	CRISPR
MRGV_vOTU00045	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	1.0	CRISPR
MRGV_vOTU00046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	0.7142857142857143	CRISPR:Integration
MRGV_vOTU00047	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585015	0.8529411764705882	CRISPR
MRGV_vOTU00048	d__Bacteria;p__Bacillota_A;c__Clostridia	1.0	CRISPR:Integration
MRGV_vOTU00049	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR:Integration
MRGV_vOTU00050	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.8952380952380953	CRISPR
MRGV_vOTU00051	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00052	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	1.0	CRISPR:Integration
MRGV_vOTU00054	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003611805	0.7590361445783133	CRISPR:Integration
MRGV_vOTU00055	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7050;s__UBA7050 sp003979345	0.7272727272727273	CRISPR
MRGV_vOTU00056	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp910588005	1.0	CRISPR
MRGV_vOTU00057	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00058	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00059	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Pumilibacteraceae	0.717948717948718	CRISPR:Integration
MRGV_vOTU00060	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9571428571428572	CRISPR
MRGV_vOTU00061	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9915966386554622	CRISPR
MRGV_vOTU00063	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00064	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella rodentium	0.8431372549019608	CRISPR:Integration
MRGV_vOTU00065	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA3700	0.7638888888888888	CRISPR
MRGV_vOTU00066	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR:Integration
MRGV_vOTU00067	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002490665	1.0	CRISPR
MRGV_vOTU00068	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	1.0	CRISPR:Integration
MRGV_vOTU00069	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00071	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00072	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774375	0.75	CRISPR
MRGV_vOTU00073	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9956709956709956	CRISPR:Integration
MRGV_vOTU00074	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_A	0.8333333333333334	CRISPR
MRGV_vOTU00075	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp910585525	0.7272727272727273	CRISPR
MRGV_vOTU00077	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella	1.0	CRISPR
MRGV_vOTU00078	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp011959105	0.9615384615384616	Integration
MRGV_vOTU00079	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.7885714285714286	CRISPR
MRGV_vOTU00080	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00081	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RGIG4057	0.7318840579710145	CRISPR
MRGV_vOTU00082	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp910585525	0.7142857142857143	CRISPR
MRGV_vOTU00084	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9903846153846154	CRISPR:Integration
MRGV_vOTU00085	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.9942857142857144	CRISPR:Integration
MRGV_vOTU00086	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp910575255	1.0	CRISPR:Integration
MRGV_vOTU00087	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	0.9411764705882352	CRISPR
MRGV_vOTU00088	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp009774015;strain__MGBC147955	1.0	CRISPR
MRGV_vOTU00089	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00090	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002358575	0.75	CRISPR:Integration
MRGV_vOTU00091	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp009774015;strain__MGBC147955	1.0	CRISPR
MRGV_vOTU00092	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Pumilibacteraceae;g__Anaerocaecibacter;s__Anaerocaecibacter sp910587805	0.7017543859649122	CRISPR:Integration
MRGV_vOTU00094	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp910585005	1.0	CRISPR:Integration
MRGV_vOTU00095	d__Bacteria;p__Bacillota_A;c__Clostridia	0.9142857142857144	Integration
MRGV_vOTU00096	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00097	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9937888198757764	CRISPR
MRGV_vOTU00098	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00099	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR:Integration
MRGV_vOTU00100	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus_A;s__Hominisplanchenecus_A murintestinalis	1.0	Integration
MRGV_vOTU00101	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RGIG4057;s__RGIG4057 sp910577675	0.9333333333333332	CRISPR
MRGV_vOTU00102	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	0.7289719626168224	CRISPR
MRGV_vOTU00103	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.986725663716814	CRISPR:Integration
MRGV_vOTU00104	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9866666666666668	CRISPR:Integration
MRGV_vOTU00105	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	1.0	CRISPR
MRGV_vOTU00107	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00108	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	0.8611111111111112	CRISPR
MRGV_vOTU00109	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp910575255;strain__MGBC105505	1.0	CRISPR
MRGV_vOTU00110	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.984126984126984	CRISPR
MRGV_vOTU00111	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp009774895	0.9319371727748692	CRISPR:Integration
MRGV_vOTU00112	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	0.925925925925926	CRISPR
MRGV_vOTU00113	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp009774015;strain__MGBC146666	1.0	CRISPR
MRGV_vOTU00116	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum	0.8857142857142857	CRISPR
MRGV_vOTU00117	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9943181818181818	CRISPR:Integration
MRGV_vOTU00120	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR:Integration
MRGV_vOTU00121	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00123	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	0.7391304347826086	CRISPR
MRGV_vOTU00125	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585015	0.7045454545454546	CRISPR:Integration
MRGV_vOTU00126	d__Bacteria	1.0	CRISPR
MRGV_vOTU00127	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00128	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	1.0	CRISPR
MRGV_vOTU00129	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vermiculatibacterium;s__Vermiculatibacterium sp910587345;strain__GENOME23965	1.0	CRISPR
MRGV_vOTU00131	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	1.0	CRISPR
MRGV_vOTU00132	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum faecis	1.0	CRISPR
MRGV_vOTU00133	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	1.0	CRISPR:Integration
MRGV_vOTU00134	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.8979591836734694	CRISPR:Integration
MRGV_vOTU00135	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00136	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9905956112852664	CRISPR:Integration
MRGV_vOTU00138	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas sp910586315	1.0	Integration
MRGV_vOTU00139	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.7808219178082192	CRISPR:Integration
MRGV_vOTU00140	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp011958945	0.8571428571428571	CRISPR
MRGV_vOTU00141	d__Bacteria;p__Bacillota_A;c__Clostridia	1.0	CRISPR
MRGV_vOTU00142	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Caccovicinus;s__Caccovicinus sp910585635	0.9117647058823528	CRISPR
MRGV_vOTU00144	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9761904761904762	CRISPR:Integration
MRGV_vOTU00145	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR:Integration
MRGV_vOTU00146	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910586895	1.0	CRISPR
MRGV_vOTU00147	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.738255033557047	CRISPR:Integration
MRGV_vOTU00148	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	0.8666666666666667	CRISPR:Integration
MRGV_vOTU00149	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp910587095;strain__MGBC155444	1.0	Integration
MRGV_vOTU00150	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__QXXE01;s__QXXE01 sp910586575;strain__MGBC132107	1.0	Integration
MRGV_vOTU00152	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585015;strain__MGBC104917	1.0	CRISPR
MRGV_vOTU00153	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UBA7185	0.7	CRISPR:Integration
MRGV_vOTU00154	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter	1.0	CRISPR
MRGV_vOTU00155	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Caccovicinus;s__Caccovicinus sp009774615	1.0	Integration
MRGV_vOTU00156	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp910575775;strain__GENOME20113	1.0	Integration
MRGV_vOTU00157	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395	1.0	CRISPR
MRGV_vOTU00158	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp910588955	0.8	CRISPR
MRGV_vOTU00159	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	0.8543689320388349	CRISPR
MRGV_vOTU00161	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus	1.0	CRISPR:Integration
MRGV_vOTU00163	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	0.9230769230769232	CRISPR:Integration
MRGV_vOTU00164	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.7089552238805971	CRISPR:Integration
MRGV_vOTU00165	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	1.0	CRISPR:Integration
MRGV_vOTU00166	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	0.9285714285714286	CRISPR
MRGV_vOTU00167	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	0.75	CRISPR
MRGV_vOTU00169	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0.8055555555555556	CRISPR
MRGV_vOTU00170	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Gallimonas;s__Gallimonas sp910585595	1.0	Integration
MRGV_vOTU00171	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282	0.7857142857142857	CRISPR
MRGV_vOTU00172	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Caccovicinus;s__Caccovicinus sp910585635	1.0	CRISPR
MRGV_vOTU00173	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002358575	0.8125	CRISPR
MRGV_vOTU00174	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR:Integration
MRGV_vOTU00175	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395	1.0	CRISPR
MRGV_vOTU00176	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.8	Integration
MRGV_vOTU00177	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	1.0	CRISPR:Integration
MRGV_vOTU00178	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0.8235294117647058	CRISPR:Integration
MRGV_vOTU00179	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00180	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	0.8125	CRISPR:Integration
MRGV_vOTU00181	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.8933333333333333	CRISPR:Integration
MRGV_vOTU00182	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.946969696969697	CRISPR:Integration
MRGV_vOTU00183	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00184	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1.0	CRISPR
MRGV_vOTU00185	d__Bacteria	1.0	CRISPR:Integration
MRGV_vOTU00186	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR:Integration
MRGV_vOTU00187	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp910584245	0.84375	Integration
MRGV_vOTU00188	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp910585505	1.0	Integration
MRGV_vOTU00189	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.9333333333333332	CRISPR
MRGV_vOTU00190	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00191	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR:Integration
MRGV_vOTU00192	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9642857142857144	CRISPR
MRGV_vOTU00193	d__Bacteria;p__Bacillota_A;c__Clostridia	0.935483870967742	CRISPR
MRGV_vOTU00194	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1.0	CRISPR
MRGV_vOTU00196	d__Bacteria;p__Bacillota_A;c__Clostridia	0.75	CRISPR:Integration
MRGV_vOTU00197	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910589395	1.0	CRISPR
MRGV_vOTU00198	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp910586995	1.0	Integration
MRGV_vOTU00199	d__Bacteria;p__Bacillota_A;c__Clostridia	1.0	CRISPR
MRGV_vOTU00200	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.953781512605042	CRISPR
